Unnamed: 0,property_type,sector,society,price,price_per_sqft,built_up_area,bedRoom,bathroom,balcony,floorNum,agePossession,study room,servant room,store room,pooja room,others,furnishing_type,luxury_score,coordinates,latitude,longitude
88,house,sector 53,independent,4.0,17777.78,2250.0,5,5,2,3.0,Relatively New,1,0,0,0,0,1,23,"28.4433° N, 77.0948° E",28.4433,77.0948
89,flat,sector 77,umang winter hills,0.99,7857.14,1126.0,2,2,2,1.0,Relatively New,0,0,0,0,0,1,97,"28.3801° N, 76.9845° E",28.3801,76.9845
90,house,sector 9,independent,3.2,13519.22,2367.0,3,3,2,1.0,Old Property,0,0,0,0,0,2,36,"28.4603° N, 77.0000° E",28.4603,77.0
91,house,sector 7,independent,1.75,11111.11,1575.0,4,2,2,2.0,Old Property,0,0,0,0,1,1,31,"28.4644° N, 77.0143° E",28.4644,77.0143
92,house,sector 26,dlf city phase 1,4.5,33333.33,1350.0,3,3,2,2.0,Moderately Old,1,1,0,0,0,1,70,"28.4757° N, 77.1032° E",28.4757,77.1032
93,flat,sector 37d,ramprastha the edge towers,0.8,5797.1,1300.0,2,2,3,2.0,Relatively New,0,0,0,0,0,1,78,"28.4478° N, 76.9703° E",28.4478,76.9703
94,flat,sector 67a,ireo the corridors,1.8,9370.12,1551.0,3,3,2,3.0,New Property,1,0,1,0,0,2,150,"28.3960° N, 77.0372° E",28.396,77.0372
95,flat,sector 102,shapoorji pallonji joyville gurugram,1.35,9933.77,1230.0,2,2,2,9.0,Relatively New,0,0,0,0,0,1,100,"28.4750° N, 76.9715° E",28.475,76.9715
96,flat,sector 2,bestech park view residency,1.55,8072.92,1738.0,3,4,3+,10.0,Moderately Old,0,1,0,0,0,1,100,"28.5095° N, 77.0320° E",28.5095,77.032
98,flat,sector 65,m3m skycity,2.8,15317.29,1828.0,3,3,0,14.0,Relatively New,0,0,0,0,0,1,39,"28.4030° N, 77.0690° E",28.403,77.069
99,flat,sector 85,ss the leaf,1.14,6951.22,1484.0,2,2,3,4.0,Relatively New,0,0,0,0,0,1,109,"28.4042° N, 76.9513° E",28.4042,76.9513
100,house,sector 92,signature global city 92,0.75,7820.65,959.0,2,2,3,1.0,Relatively New,0,0,0,0,0,1,46,"28.4079° N, 76.9153° E",28.4079,76.9153
101,flat,sector 91,tarc maceo,1.4,7407.41,1700.0,3,3,3+,7.0,Relatively New,0,0,0,0,0,1,76,"28.4014° N, 76.9225° E",28.4014,76.9225
103,flat,sector 82a,dlf the primus,1.59,10338.1,1668.0,3,3,3+,5.0,Relatively New,0,0,0,0,1,0,167,"28.3858° N, 76.9686° E",28.3858,76.9686
104,flat,sector 85,orris carnation residency,0.88,5953.99,1344.0,3,3,1,1.0,Relatively New,0,0,0,0,0,1,65,"28.4042° N, 76.9513° E",28.4042,76.9513
108,flat,sector 56,shri banke bihari society,1.35,9642.86,1450.0,3,3,3+,4.0,Old Property,0,0,0,0,1,2,174,"28.4245° N, 77.0991° E",28.4245,77.0991
109,flat,sector 59,conscient elevate,3.78,16499.35,2550.0,3,3,3,3.0,Under Construction,0,0,0,0,0,1,31,"28.4051° N, 77.1097° E",28.4051,77.1097
110,house,sector 48,vipul tatvam villa,8.5,21250.0,4000.0,4,5,3+,2.0,Moderately Old,1,1,0,1,1,2,49,"28.4177° N, 77.0359° E",28.4177,77.0359
111,flat,sector 51,the arzoo cghs,2.1,9130.43,2300.0,4,4,3,1.0,Relatively New,0,0,0,0,0,1,58,"28.4320° N, 77.0686° E",28.432,77.0686
112,flat,sector 82a,dlf the primus,3.5,13430.54,2896.0,5,5,3+,14.0,Relatively New,1,0,0,0,0,0,49,"28.3858° N, 76.9686° E",28.3858,76.9686
113,flat,sector 65,m3m heights,2.5,13601.74,1654.0,3,3,3,19.0,Under Construction,0,0,0,0,0,1,48,"28.4030° N, 77.0690° E",28.403,77.069
114,flat,sector 54,dlf park place,4.86,25920.0,1875.0,3,4,3+,7.0,Relatively New,0,1,0,0,0,2,49,"28.4348° N, 77.1089° E",28.4348,77.1089
115,flat,sector 90,dlf new town heights,1.3,6735.75,1929.0,3,3,3+,10.0,Relatively New,0,1,0,1,0,2,129,"28.4085° N, 76.9369° E",28.4085,76.9369
116,flat,sector 85,godrej air,1.8,13138.69,141.0,3,3,3,30.0,Under Construction,0,0,0,0,0,1,45,"28.4042° N, 76.9513° E",28.4042,76.9513
117,flat,sector 68,m3m the marina,1.32,8759.12,1364.0,2,2,3,15.0,Relatively New,1,0,0,0,0,1,120,"28.3853° N, 77.0484° E",28.3853,77.0484
118,flat,sector 90,shree vardhman flora,0.65,4814.81,1222.0,2,2,3,10.0,Moderately Old,1,0,0,0,0,2,83,"28.4085° N, 76.9369° E",28.4085,76.9369
120,flat,sector 83,vatika lifestyle homes,1.05,7500.0,1600.0,3,2,2,1.0,Moderately Old,0,0,0,0,0,2,106,"28.3986° N, 76.9647° E",28.3986,76.9647
121,flat,sector 65,emaar mgf emerald floors premier,2.9,14683.54,2194.0,4,4,0,0.0,Relatively New,0,0,1,0,0,1,50,"28.4030° N, 77.0690° E",28.403,77.069
122,flat,sector 69,tulip violet,1.19,8814.81,1500.0,2,3,1,0.0,Relatively New,1,0,0,0,0,1,174,"28.3966° N, 77.0341° E",28.3966,77.0341
123,house,sector 31,independent,3.5,24154.59,1449.0,4,3,3,2.0,Moderately Old,0,0,1,0,0,2,81,"28.4528° N, 77.0498° E",28.4528,77.0498
124,flat,sector 113,la vida by tata housing,2.7,16363.64,2217.0,3,4,3+,4.0,Relatively New,0,1,0,0,0,2,49,"28.5287° N, 77.0233° E",28.5287,77.0233
125,house,sector 109,international city by sobha phase 2,9.4,26111.11,3600.0,5,6,3+,2.0,Relatively New,1,1,1,1,0,2,147,"28.5073° N, 77.0089° E",28.5073,77.0089
126,flat,sector 37c,piedmont taksila heights,0.9,5855.56,1537.0,3,3,3,9.0,Moderately Old,0,0,0,0,0,2,94,"28.4515° N, 76.9882° E",28.4515,76.9882
128,flat,sector 107,m3m woodshire,1.3,10815.31,1547.0,3,3,3,7.0,Relatively New,0,0,0,1,0,1,89,"28.5052° N, 76.9729° E",28.5052,76.9729
129,house,sector 4,independent,0.65,11111.11,585.0,4,2,2,2.0,Moderately Old,0,0,0,0,0,1,0,"28.4738° N, 77.0107° E",28.4738,77.0107
130,flat,sector 107,m3m woodshire,0.8,5856.52,1204.0,2,2,3+,6.0,Relatively New,0,0,0,1,0,2,174,"28.5052° N, 76.9729° E",28.5052,76.9729
131,flat,sector 92,signature global city 92,0.99,9074.24,1091.0,3,2,3,1.0,Under Construction,0,0,0,0,0,1,24,"28.4079° N, 76.9153° E",28.4079,76.9153
133,house,sector 26,arjun marg/ sector- 26 phase- 1/ golf course road,31.5,35000.0,9000.0,7,9,3+,3.0,Moderately Old,1,1,1,1,0,0,74,"28.4757° N, 77.1032° E",28.4757,77.1032
134,flat,sector 107,signature global solera,0.49,8221.48,598.0,2,2,1,8.0,Relatively New,0,0,0,0,1,0,49,"28.5052° N, 76.9729° E",28.5052,76.9729
135,flat,sector 109,ats tourmaline,2.95,9365.08,2851.0,4,5,3+,10.0,Relatively New,0,1,0,0,0,1,101,"28.5073° N, 77.0089° E",28.5073,77.0089
136,flat,sector 86,ansal heights 86,0.74,5441.18,1231.0,2,2,1,11.0,Under Construction,0,0,0,0,1,1,45,"28.3986° N, 76.9384° E",28.3986,76.9384
137,house,sector 49,independent,4.45,15451.39,2880.0,6,6,3,3.0,Moderately Old,1,1,1,1,0,0,152,"28.4121° N, 77.0480° E",28.4121,77.048
138,flat,sector 104,puri emerald bay,1.32,8516.13,1403.0,2,2,2,10.0,Relatively New,0,0,0,0,0,1,128,"28.4788° N, 76.9960° E",28.4788,76.996
139,flat,sector 69,unitech sunbreeze,0.74,5501.86,1210.0,3,3,1,10.0,Under Construction,0,1,0,0,0,1,60,"28.3966° N, 77.0341° E",28.3966,77.0341
140,house,sector 25,dlf city plots phase 2,4.5,33333.33,1350.0,5,3,2,3.0,Old Property,0,0,1,1,0,1,25,"28.4844° N, 77.0860° E",28.4844,77.086
141,house,sector 109,international city by sobha phase 2,6.2,25514.4,2430.0,5,5,2,2.0,Relatively New,0,1,0,0,0,1,135,"28.5073° N, 77.0089° E",28.5073,77.0089
142,flat,sector 108,experion the heartsong,1.25,9259.26,1500.0,3,3,3,1.0,Relatively New,0,1,0,1,0,1,174,"28.5134° N, 76.9830° E",28.5134,76.983
143,flat,sector 33,central park flower valley,1.55,11923.08,1444.0,3,3,3+,7.0,New Property,0,0,0,0,0,2,28,"28.4420° N, 77.0207° E",28.442,77.0207
144,flat,sector 58,ireo the grand arch,2.2,16000.0,1528.0,2,2,1,5.0,Relatively New,0,0,0,1,0,2,49,"28.4200° N, 77.1105° E",28.42,77.1105
145,house,sector 11,independent,4.0,19753.09,2025.0,5,4,1,2.0,Moderately Old,0,0,0,0,0,1,0,"28.4531° N, 77.0202° E",28.4531,77.0202
146,flat,sector 28,maruti vihar,1.0,9090.91,995.0,1,1,1,1.0,Old Property,1,0,0,1,0,2,80,"28.4728° N, 77.0865° E",28.4728,77.0865
147,flat,sector 37c,corona optus,1.4,7035.18,1890.0,3,3,3+,4.0,Relatively New,0,1,0,0,0,1,149,"28.4515° N, 76.9882° E",28.4515,76.9882
148,flat,sector 103,satya the hermitage,0.93,6404.96,1613.0,2,3,3,3.0,Relatively New,0,1,0,0,0,2,90,"28.4949° N, 76.9845° E",28.4949,76.9845
149,flat,sector 85,ss the leaf,1.17,6720.28,1550.0,2,3,3,10.0,Relatively New,0,0,0,0,1,1,49,"28.4042° N, 76.9513° E",28.4042,76.9513
150,flat,sector 109,conscient one,1.7,17616.58,965.0,1,1,2,9.0,Relatively New,0,0,0,0,0,1,0,"28.5073° N, 77.0089° E",28.5073,77.0089
151,flat,sector 22,ambience creacions,1.65,11956.52,1200.0,2,2,2,9.0,Relatively New,0,0,0,1,1,0,133,"28.5072° N, 77.0640° E",28.5072,77.064
152,house,sector 28,housing board colony,2.1,23333.33,900.0,2,8,3+,4.0,Moderately Old,0,0,0,0,1,2,38,"28.4728° N, 77.0865° E",28.4728,77.0865
153,flat,sector 102,emaar imperial gardens,2.05,9874.76,2250.0,3,4,3+,14.0,Relatively New,0,1,0,0,0,1,116,"28.4750° N, 76.9715° E",28.475,76.9715
154,flat,sector 85,orris aster court,0.9,5671.08,1436.0,3,3,3,8.0,Relatively New,0,0,0,0,0,1,49,"28.4042° N, 76.9513° E",28.4042,76.9513
155,flat,sector 106,paras dews,1.15,6534.09,1186.0,3,4,3+,12.0,Relatively New,1,1,0,0,0,2,174,"28.5007° N, 77.0003° E",28.5007,77.0003
156,flat,sector 103,signature global grand iva,0.3,8287.29,402.0,1,2,2,5.0,New Property,0,0,0,0,0,1,37,"28.4949° N, 76.9845° E",28.4949,76.9845
157,flat,sector 4,housing apna enclave,0.39,4105.26,950.0,2,2,1,1.0,Relatively New,0,0,0,0,0,1,0,"28.4738° N, 77.0107° E",28.4738,77.0107
158,flat,sector 102,emaar gurgaon greens,1.5,9090.91,1315.0,3,3,3,7.0,Relatively New,0,0,0,1,0,2,174,"28.4750° N, 76.9715° E",28.475,76.9715
159,flat,sector 71,signature andour heights,0.6,10000.0,557.0,2,2,1,5.0,Relatively New,0,0,0,1,0,1,59,"28.4104° N, 77.0281° E",28.4104,77.0281
160,flat,sector 109,chintels paradiso,1.8,8867.0,1910.0,3,3,2,0.0,Moderately Old,0,1,0,0,0,1,83,"28.5073° N, 77.0089° E",28.5073,77.0089
161,flat,sector 2,bestech park view residency,0.98,6930.69,1281.0,2,2,3,11.0,Moderately Old,0,0,0,0,0,1,83,"28.5095° N, 77.0320° E",28.5095,77.032
162,flat,sector 92,raheja navodaya,0.85,5407.12,1423.0,3,3,0,0.0,Relatively New,0,0,0,0,0,1,88,"28.4079° N, 76.9153° E",28.4079,76.9153
163,flat,sector 92,sare green parc phase 3,1.1,6875.0,1778.0,4,3,2,12.0,New Property,0,0,0,0,0,1,15,"28.4079° N, 76.9153° E",28.4079,76.9153
164,flat,sector 65,emaar mgf emerald floors premier,2.8,16969.7,1650.0,3,3,3+,3.0,Relatively New,1,1,0,0,0,2,38,"28.4030° N, 77.0690° E",28.403,77.069
165,flat,sector 104,godrej summit,1.16,6387.67,2018.0,3,4,3+,8.0,Relatively New,0,1,0,0,0,2,96,"28.4788° N, 76.9960° E",28.4788,76.996
166,flat,sector 79,m3m golf hills,1.45,10211.27,1578.0,2,2,3,15.0,Under Construction,0,0,0,0,0,1,67,"28.3624° N, 76.9787° E",28.3624,76.9787
167,house,sector 4,huda ashok vihar phase,0.7,10233.92,684.0,3,2,1,2.0,New Property,1,0,0,0,0,1,7,"28.4738° N, 77.0107° E",28.4738,77.0107
168,flat,sector 102,shapoorji pallonji joyville gurugram,2.15,12706.86,1690.0,3,3,3,10.0,Relatively New,0,0,0,0,0,2,49,"28.4750° N, 76.9715° E",28.475,76.9715
